"Id","Class","Family"
"01kcPWA9K2BOxQeS5Rju",1,"Ramnit"
"04EjIdbPV5e1XroFOpiN",1,"Ramnit"
"05EeG39MTRrI6VY21DPd",1,"Ramnit"
"05rJTUWYAKNegBk2wE8X",1,"Ramnit"
"0AnoOZDNbPXIr2MRBSCJ",1,"Ramnit"
"0AwWs42SUQ19mI7eDcTC",1,"Ramnit"
"0cH8YeO15ZywEhPrJvmj",1,"Ramnit"
"0DNVFKwYlcjO7bTfJ5p1",1,"Ramnit"
"0DqUX5rkg3IbMY6BLGCE",1,"Ramnit"
"0eaNKwluUmkYdIvZ923c",1,"Ramnit"
"0fHVZKeTE6iRb1PIQ4au",1,"Ramnit"
"0G4hwobLuAzvl1PWYfmd",1,"Ramnit"
"0gkj92oIleU4SYiCWpaM",1,"Ramnit"
"0H63jydvIahOVqgx5Kfo",1,"Ramnit"
"0Hrfce4X5YGESJPjl9uL",1,"Ramnit"
"0I4ZVvngsAatm8fzD3pk",1,"Ramnit"
"0iBaz3krsQ8HuA7cGDSt",1,"Ramnit"
"0iS3pwlgJco8XORD4TLq",1,"Ramnit"
"0jkmvR43UQ9yKxqXei61",1,"Ramnit"
"0KigmP9TLwJXNGz26tfO",1,"Ramnit"
"0l6fhCty3aSLDOgAjYQi",1,"Ramnit"
"0MOorvEIRmZGhqQdc3TA",1,"Ramnit"
"0NEsQlDGnUMg3Bew7R1A",1,"Ramnit"
"0NyfGXt8nmlK72Q9Irhs",1,"Ramnit"
"0odUVkrjp2B1n8NDS6bR",1,"Ramnit"
"0pTO4SVnWDehgUlYBAvq",1,"Ramnit"
"0qpMX5CZU8mgD2kaRNVv",1,"Ramnit"
"0Rgetc1wAfxlzHTGBOa7",1,"Ramnit"
"0rgudc7PpbexCtBjNqWF",1,"Ramnit"
"0S7z4qxYTHPUDO8fgIyA",1,"Ramnit"
"0SIqXMkDBWKE8s9pQaOv",1,"Ramnit"
"0uNkt6sirCnUWw175pjl",1,"Ramnit"
"0WdoYq78xDkFMcIwRpmJ",1,"Ramnit"
"0X6U3SfcmbuZNodnH9qL",1,"Ramnit"
"0yBQ5dAc2gN4qx9YWuiS",1,"Ramnit"
"0YRDpBU67WrqEugkXlnd",1,"Ramnit"
"0ZHV6acpJ9KkAWPjEI71",1,"Ramnit"
"0ZiQmgtxzHe9v5O8Lf2k",1,"Ramnit"
"0ZTEyLXaWReMK3rYVCjv",1,"Ramnit"
"12TEseaJ4jnbyORqKxhf",1,"Ramnit"
"15loeAHtkJa8BuFi6Zry",1,"Ramnit"
"175ZU8ClOsnifz03ybcX",1,"Ramnit"
"19zYbuW3XONcEedv7xUl",1,"Ramnit"
"1aAwe4J9VHrsq8uEoZhf",1,"Ramnit"
"1AXVt0D9mSU26fL4iFGc",1,"Ramnit"
"1ckp5Ye83yzjIilWQCfm",1,"Ramnit"
"1Cub9LvOgMWkQqs3R2ef",1,"Ramnit"
"1CWtrEfORZDj7psmnToA",1,"Ramnit"
"1d485UYC6qhXKrAcDJPZ",1,"Ramnit"
"1DNWriJEg56S03yvjTBu",1,"Ramnit"
"1E93CpP60RHFNiT5Qfvn",1,"Ramnit"
"1eJx34l8pcAFvMuOwrjB",1,"Ramnit"
"1GQ4lzmoS3P96jkAKsRn",1,"Ramnit"
"1gQDa4l9cNBbkO7n5IY0",1,"Ramnit"
"1h0FDrPmV7gfCzs9Id43",1,"Ramnit"
"1her6tuVWjBkqZPUf8KR",1,"Ramnit"
"1hK3zVxBGXmtTP6JlHwb",1,"Ramnit"
"1HRWOczEX65rYmMiZ2lv",1,"Ramnit"
"1IGurl3q9bJQ7pmtMD8O",1,"Ramnit"
"1ik3ncdBTYIJAgfmjpwz",1,"Ramnit"
"1JzApr8qu7Cci5LT23t9",1,"Ramnit"
"1kouSC7XqwfbyQVWnGZg",1,"Ramnit"
"1l5V2AwZS9ixLMmecCkp",1,"Ramnit"
"1LE6uK9BdgNXIcSTnrMJ",1,"Ramnit"
"1libdFwcBaLtXRCmMZGe",1,"Ramnit"
"1mStzMaQ8RUVBx7TkF4o",1,"Ramnit"
"1mTVBq2nUDktewXxNH7W",1,"Ramnit"
"1OHzGWXBTlpyVsIPK3kj",1,"Ramnit"
"1pf8sevSo3OYJnhcZX6M",1,"Ramnit"
"1ptMdWPB4IvREzafL2S9",1,"Ramnit"
"1q92fF8uKHitWlaIkXzQ",1,"Ramnit"
"1RKde4WYoA7c5N8lEHtv",1,"Ramnit"
"1Rr0hWX8Qz6nm3IgYLuF",1,"Ramnit"
"1SH4t9y0IAoE8QP5NvXp",1,"Ramnit"
"1smUAv6epFKI7kbR3u0G",1,"Ramnit"
"1TieqSEpxIa6BmcGFsvM",1,"Ramnit"
"1TKPznCeQg9cHYflavwb",1,"Ramnit"
"1tO3IYLhvDx6CKoHamQb",1,"Ramnit"
"1tzCLRxMuGS0yKI3lj8c",1,"Ramnit"
"1u3PmQiD0bX6RcgoCNKe",1,"Ramnit"
"1xGM8wcYTV4pQFhJBd2f",1,"Ramnit"
"1xhTCaBpdsUkSWNr4fg2",1,"Ramnit"
"1zb0rkEtweXH7ABuqoM2",1,"Ramnit"
"2037kCYJ5fZKPw4oDGX1",1,"Ramnit"
"21l6hcFemsiIapSqw8XO",1,"Ramnit"
"23L6M58iTRC4rNHlIFDy",1,"Ramnit"
"23X8YxaVuUHGecPoCtlN",1,"Ramnit"
"25MVSaOYETk0ueIroJ1L",1,"Ramnit"
"25r7AlY4VJojhNEcOW6x",1,"Ramnit"
"27wyEMFY6QlxGfzpZ3iq",1,"Ramnit"
"28k1chbvla3x9HorWNnO",1,"Ramnit"
"29NR1zBEDCPM5xntsdlA",1,"Ramnit"
"2A6SgLfdzGEopT7XcQhD",1,"Ramnit"
"2AkLpJEONXZSefoC0BgQ",1,"Ramnit"
"2BcVLYAwvCqM37U6bkj9",1,"Ramnit"
"2bcyFiRa8zKBolCGZSvO",1,"Ramnit"
"2bdnyMU3XQlIA5grPeZm",1,"Ramnit"
"2DBKbxPnVCyiLzqAHU9c",1,"Ramnit"
"2edniWaG7lVIHuAsN1MQ",1,"Ramnit"
"2eqnSQrGfCXupwkDtIJ6",1,"Ramnit"
"2eSoCjQzDri3E0cuxUYb",1,"Ramnit"
"2F5DOMVLNGfQKePHdwru",1,"Ramnit"
"2F6ZfVCQRi3vrwcj4zxL",1,"Ramnit"
"2fl8q7dsoC1PwApx6QNg",1,"Ramnit"
"2FM7DbSIHweyXBx8UVNQ",1,"Ramnit"
"2H0bSg5eIqnYLrNpsaAh",1,"Ramnit"
"2HesW5JxQNOGSIUubRzX",1,"Ramnit"
"2iKeU7DIk9Rdyf4hc8vr",1,"Ramnit"
"2JpYoHqMfAI5jnlGDgFs",1,"Ramnit"
"2L8o4lH63UGR1hPEnztQ",1,"Ramnit"
"2lv0CPzQVLwtcAKZT1FB",1,"Ramnit"
"2M9jHWhCOGBtY4Jbsvcy",1,"Ramnit"
"2oHOw4StzEV0hiKq3ByD",1,"Ramnit"
"2oUnGI7b6Cr93eESp0mB",1,"Ramnit"
"2oUq3FLziRydvHSXM7na",1,"Ramnit"
"2oyTpmYF4tSuBH9kXQc7",1,"Ramnit"
"2PFLzYNrp1d96DAVQlIk",1,"Ramnit"
"2PKeuzXhpxc8MU7HZyIW",1,"Ramnit"
"2qgetG9lN5EZdfQXH4a8",1,"Ramnit"
"2Qn5kEMv9rXOHBaVWsYf",1,"Ramnit"
"2QrbygLtTNwiOBfpoGCv",1,"Ramnit"
"2qTFb1xySrO5Z0UBlhRi",1,"Ramnit"
"2riyIFwQHLl3GnakxJEj",1,"Ramnit"
"2RsBPMStVQNc7x3kgYde",1,"Ramnit"
"2SnRYbpqifxILdT4Wg9m",1,"Ramnit"
"2sv7DuVoamrNGYISKzxP",1,"Ramnit"
"2T9zBqN60tJEQmOblyM8",1,"Ramnit"
"2uKJ96CnsBpH7LqWVOTD",1,"Ramnit"
"2uwHk0ITbfVelsUgRt7o",1,"Ramnit"
"2vN1Rihuanrg6UZoQqxV",1,"Ramnit"
"2w9vSPLphY6jDmQlX3yb",1,"Ramnit"
"2WZUxR417IeGpiFkEYDu",1,"Ramnit"
"2xXOy0GfquKYWIpsPa3n",1,"Ramnit"
"2zhCBgyKOjI10uYixDAZ",1,"Ramnit"
"2ZkEC4YJ9vO1dHy3Nb68",1,"Ramnit"
"2ZPDI3tv7UdhkfRWu54L",1,"Ramnit"
"31KjQiNWATfPaozHtYOl",1,"Ramnit"
"31vEFJmeXuz6nfrOWUka",1,"Ramnit"
"34jRfVmwv6dAsgzuH1TG",1,"Ramnit"
"36wkArG90VEziKRNn4WM",1,"Ramnit"
"37hj4GErYayxeWokIlLO",1,"Ramnit"
"39gowdFUK2kGxcBnbALH",1,"Ramnit"
"3aAduIoFRi8fj6Q54xNz",1,"Ramnit"
"3ajDbkt0X6TLUuHKYZhs",1,"Ramnit"
"3AnwI4dqXDW8PQ7ijCKm",1,"Ramnit"
"3aUTHQpJqC8czb1yohmA",1,"Ramnit"
"3bapyeGYC5Zot4Sm1NOd",1,"Ramnit"
"3cOQWb04rxmgsYS8nfNK",1,"Ramnit"
"3CyxQdJhW5trsfwIz4ik",1,"Ramnit"
"3DPkmSKTydJUFQ19Ol4s",1,"Ramnit"
"3e0TBEVcdHMa57Dh1woq",1,"Ramnit"
"3EdJ5pSORwmeINfjaglQ",1,"Ramnit"
"3ekVow2ajZHbTnBcsDfX",1,"Ramnit"
"3EzMAgjUT5qkPRJvOYhS",1,"Ramnit"
"3fgX5GuthkIcJaTvP9UN",1,"Ramnit"
"3Fq6Hra0DR4YuigChWel",1,"Ramnit"
"3fxHsVZeOikwBYzM5KCJ",1,"Ramnit"
"3GIiqFjPozTtc4Kms2NW",1,"Ramnit"
"3GlD7TZI6F5ExPqHs0a1",1,"Ramnit"
"3I8UmNjSvVu5sblAYfXB",1,"Ramnit"
"3IxTl7gVswPM9eJDkapX",1,"Ramnit"
"3JCnTRxD1aOUXlqr854L",1,"Ramnit"
"3jgZFtCA0oPpxkvBU56L",1,"Ramnit"
"3JkuxSQe9OwRfKFLzWrg",1,"Ramnit"
"3jRZMsoI9VmuhTGnUrQi",1,"Ramnit"
"3kETNFWJXPAwmR6BlYf5",1,"Ramnit"
"3kKFSINOJQtmcxXyq6LR",1,"Ramnit"
"3kXqmsjc6JxO0g8uQZWB",1,"Ramnit"
"3LOYzcPQdE7yresjlXVm",1,"Ramnit"
"3njKFSaLcsNydxXDA8q9",1,"Ramnit"
"3nZODLNAGgEF76dck14t",1,"Ramnit"
"3o1eL8jrlyb7MY6NASQi",1,"Ramnit"
"3ojXTJ7uAkvVnimG5rpL",1,"Ramnit"
"3OnsTxklQ4ei68fEDdhz",1,"Ramnit"
"3OYkjEMJPUWF5Si1ATZ9",1,"Ramnit"
"3PUsV4jflnCw8mGHZIgK",1,"Ramnit"
"3qTBeSjiWwaUAmP5y1xs",1,"Ramnit"
"3SHYJ561ndFZAqWT4sND",1,"Ramnit"
"3ubKM2fLx4GCX1Eqkh0i",1,"Ramnit"
"3uMRSqGw1TtKUm5dz6fW",1,"Ramnit"
"3v1ySaG5qjMuW90T7EiH",1,"Ramnit"
"3v7fe0Diw9cOu6dAzsaE",1,"Ramnit"
"3WfGisHe7lkxVFN8cjXz",1,"Ramnit"
"3X0ULNpuso5MKmZb1Sty",1,"Ramnit"
"3X2nY7iQaPBIWDrAZqJe",1,"Ramnit"
"3xhmsIkdn7FPL4G9a0Qg",1,"Ramnit"
"3yHaDhqlkp67fzMQAgxc",1,"Ramnit"
"3zDoZM6sSC2E9X4dtlB5",1,"Ramnit"
"418XPavxNpslKmeoTUwJ",1,"Ramnit"
"41wOoxNbCqTKQImafyDJ",1,"Ramnit"
"420SDzWFNamqIiHBYjPu",1,"Ramnit"
"42KmWtQBnkgxcUPvhMGu",1,"Ramnit"
"46OZzdsSKDCFV8h7XWxf",1,"Ramnit"
"46ywoHZAMYPuqcbVQpUT",1,"Ramnit"
"49buyig6pa25Z1IAqtSr",1,"Ramnit"
"4a6EMlDsOtq7z3hNuTdS",1,"Ramnit"
"4ACdoN6gKbsxJfklGT9Z",1,"Ramnit"
"4aY3eBDuOCmIMKQfbVgr",1,"Ramnit"
"4bEmQThjKsiSPcFfzv1q",1,"Ramnit"
"4boIVf8XqkEQ3ZRTjdiz",1,"Ramnit"
"4EBf7SbnDG6LH0Jeqzk2",1,"Ramnit"
"4eIl5buqShKLrw0dZYMG",1,"Ramnit"
"4ETQ9c3BOJ7YKNpFt0Ln",1,"Ramnit"
"4f91UESFtRDrnLdyZOCN",1,"Ramnit"
"4Fg0cdWwAjeBu5VPJzmM",1,"Ramnit"
"4flnV7Xk0PyZ5ojuIiQc",1,"Ramnit"
"4fuBOsA3MzoUyhHq1Dwg",1,"Ramnit"
